('Sandra O'Connell', 'http://www.gravatar.com/avatar/0b0my5myqovt5hhd8cvnzpzu0vow4sxt?s=64&d=monsterid', '2017-08-08'),
('Chanelle Grimes V', 'http://www.gravatar.com/avatar/x9nwalfn8ad0tk3d4zt48y2b4vxyueml?s=64&d=monsterid', '2017-08-08'),
('Rafaela O'Hara', 'http://www.gravatar.com/avatar/9si9e5jp2dip7u70gjocrb4zzibigjhe?s=64&d=monsterid', '2017-08-08'),
('Allen Kemmer', 'http://www.gravatar.com/avatar/s0bbrek5gnwym689zkksnndpg6ef2ta3?s=64&d=monsterid', '2017-08-08'),
('Angie Ratke', 'http://www.gravatar.com/avatar/9fxvoo4ipc3s51lq5q5h5ixwm6jiqkuh?s=64&d=monsterid', '2017-08-08'),
('Vito Stroman', 'http://www.gravatar.com/avatar/00sonh5765d2zkh4b8idnmpr3311px51?s=64&d=monsterid', '2017-08-08'),
('Kyleigh Schmeler', 'http://www.gravatar.com/avatar/7mq4ajpd5hydk8cljkl48ghc00xct5rf?s=64&d=monsterid', '2017-08-08'),
('Arlene Bernier', 'http://www.gravatar.com/avatar/wdrgh2zfh9ozt0xcg3i0nkp7z8jvwst7?s=64&d=monsterid', '2017-08-08'),
('Bo Lebsack', 'http://www.gravatar.com/avatar/njtz9bekdajp9d0mf0h8kembk7l6d1hu?s=64&d=monsterid', '2017-08-08'),
('Joe Nolan', 'http://www.gravatar.com/avatar/8chxbxe34uzxx09gk5d0e5fmyr6cl783?s=64&d=monsterid', '2017-08-08'),
('Sherwood Morissette', 'http://www.gravatar.com/avatar/ifg821dxnq2fo4y5m00fpsmqzv4ay7xn?s=64&d=monsterid', '2017-08-08'),
('Alisha Jacobson', 'http://www.gravatar.com/avatar/xphgcd507011ib6219qsm69m268ou6ug?s=64&d=monsterid', '2017-08-08'),
('Ransom Bogisich', 'http://www.gravatar.com/avatar/toa6evwnb1tbgi9u7szymrt9lr3s0sds?s=64&d=monsterid', '2017-08-08'),
('Lea Glover PhD', 'http://www.gravatar.com/avatar/7tc5f8alkglc0jgdin85a1q3wago7f46?s=64&d=monsterid', '2017-08-08'),
('Shanny Funk', 'http://www.gravatar.com/avatar/y33poqks4xarfbe0jyaumcp0iceijmg0?s=64&d=monsterid', '2017-08-08'),
('Kasey Streich', 'http://www.gravatar.com/avatar/8bxuygqm4qsxsdokicalyz2au80ubowm?s=64&d=monsterid', '2017-08-08'),
('Emmy Prohaska', 'http://www.gravatar.com/avatar/l284j4cnr0byn4irwfi9ynf1qo8b6goz?s=64&d=monsterid', '2017-08-08'),
('Libbie Gislason', 'http://www.gravatar.com/avatar/bzgblv7o14bivig29mvp1l4bicow7mfn?s=64&d=monsterid', '2017-08-08'),
